,Startup,Overview,Industries,Last Round,Total raised,Founders,Year Founded,Website,Status
100,Mhogo Foods,"Mhogo Foods is Kenyan cassava processing startup which processes cassava into gluten-free flour, and other products.",Food Processing Agriculture Manufacturing Wholesale,Grant,"$20,000.00",,,,
101,Mobius Motors,"Mobius designs, manufactures and sells vehicles built specifically for the African mass market.",Automotive Manufacturing,Debt Financing,"$6,000,000.00",,,,
102,Mondo Ride,Mondo Ride connects passengers with quality vehicles using technology in Africa,Transportation Ride Sharing,Seed,"$5,000,000.00",,,,
103,Moringa School,Moringa School is a multidisciplinary learning accelerator to build new skill sets and professional competencies.,Education Computer Software Education EdTech,Venture,–,,,,
104,MPost,MPost provides a patented addressing solution turning mobile phones into formal postal addresses.,Postal Services,Series A,"$2,000,000.00",,,,
105,Mr Green Africa,Mr. Green Africa is a Nairobi-based recycling start-up which operates a tech-enabled plastic recycling and waste management services.,Environmental Services Eco-friendly Recycling Waste Management,Venture,–,,,,
106,MYDAWA,"MyDawa is Kenya’s Most Trusted Online Pharmacy, for Affordable and Genuine Medicine.",Wellness,Series A,"$8,000,000.00",,,,
107,Nadia,Nadia is a personalized automated health companion that provides quick medical attention and prescriptions,Health Care Medical Insurance Medical,Seed,"$100,000.00",,,,
108,Nash,Nash is a Kenyan startup which eases access to fair financial products,Financial Services API,Grant,"$100,000.00",,,,
109,Ngare Narok Meat Industries Limited,Ngare Narok Meat Industries is a producer and supplier of prime meat cuts and a wide range of processed meat products.,Consumer Goods Food and Beverage Food Processing,Private Equity,"$2,500,000.00",,,,
110,OkHi,OkHi is building the next generation address system for Kenya and beyond.,Logistics Supply Chain Management,Seed,"$2,530,000.00",,,,
111,Okoaafrica Tours,Okoa Africa Tours is a locally-owned tour operator in East Africa offering a range of tailor-made individual and family packages.,Tourism,Angel,"$500,000.00",,,,
112,One Acre Fund,One Acre Fund supplies smallholder farmers with the financing and training they need to grow more food and earn more money.,Finance Financial Services Non Profit Agriculture,Debt Financing,"$6,300,000.00",,,,
113,Ongair,"Ongair is a Unified Customer Service platform for your customers to reach you on all major Messaging Apps like WhatsApp, Messenger, Telegram and even SMS",CRM,Seed,"$125,000.00",,,,
114,Pawame,Pawame's purpose is to provide energy access as a gateway to financial empowerment and limitless opportunity in Sub-Saharan Africa.,Energy Environmental Engineering Renewable Energy Solar,Debt Financing,"$2,543,000.00",,,,
115,PayGo Energy,PayGo Energy is a distribution service that harnesses the power of pay-as-you-go-technology,Clean Energy Oil and Gas Energy,Venture,"$8,500,000.00",,,,
116,PAZO GROUP,"PAZO is Africa's ecosystem of online services ranging from on-demand taxi & delivery services, to e-commerce to travel to trade & much more!",Retail Shopping E-Commerce,Funding Round,"$700,000.00",,,,
117,Pesabazaar,Pesabazaar is Kenya’s prominent online general insurance aggregator.,Insurance InsurTech,Seed,"$421,000.00",,,,
118,Pezesha,Pezesha is a Peer-to-Peer micro lending Marketplace that connects lenders with high quality underserved low income borrowers.,Finance Financial Services Lending,Seed,"$554,700.00",,,,
119,Pine Kazi,Pine Kazi is a Kenyan startup which converts pineapple leaf and recycled rubber into fashionable footwear,Fashion Enviroment Recycling,Grant,"$2,000.00",,,,
120,PoaPower,PoaPower is an innovative start-up in the renewable energy space.,Environmental Consulting Renewable Energy Energy,Convertible Note,"$188,527.00",,,,
121,Popote,Popote is a Kenya based mobile app that enables businesses to make their payments with total control and up-to date record keeping.,Mobile Payment FinTech Mobile Apps,Venture,–,,,,
122,Powered by People,Powered by People is a Kenyan startup offering online tools and a B2B marketplace to the manufacturing and handmade sector.,RetailTech E-Commerce Marketplace,Seed,"$1,500,000.00",,,,
123,PowerGen Renewable Energy,PowerGen is building the Energy System of the Future in Africa,Energy Power Grid Renewable Energy Solar,Series B,"$4,500,000.00",,,,
124,Powerhive,Powerhive is a Kenyan startup that provides resilient energy infrastructure for off-grid communities.,Software Cloud Computing Energy Solar,Series B,"$43,800,000.00",,,,
125,Pula,"Pula uses insurance and digital products to help smallholder farmers endure climate risks, and improve their farming practices.",InsurTech Insurance Agricultural Insurance,Grant,"$8,200,000.00",,,,
126,QuickBus,Quickbus is a Kenyan online bus booking and ticketing startup,Transportation Logistics,Seed,"$720,000.00",,,,
127,Raino Tech4Impact,Raino Tech4Impact is a social enterprise that leverages technology as an enabler to empower African communities.,Enterprise Social Community,Seed,"$100,000.00",,,,
128,Raise,Raise is a Kenya-based IT platform that aims at simplifying the fundraising process for founders and their investors.,Financial Services Fundraising,Seed,"$50,000.00",,,,
129,responsAbility Renewable Energy Holding,responsAbility Renewable is looking to invest in and co-develop small to medium-sized renewable energy projects in Sub-Saharan Africa.,Energy Renewable Energy,Private Equity,"$19,000,000.00",,,,
130,SafariSeat,"SafariSeat is a low-cost, all-terrain wheelchair designed for disabled people.",Consumer Goods,Equity Crowdfunding,"$115,000.00",,,,
131,Sanergy,Sanergy is aNairobi based waste management startup that aims to provide affordable and accessible waste management solutions.,Waste Management Renewables and Enviroment Community,Funding Round,"$11,100,000.00",,,,
132,Sanivation,Sanivation is a Kenyan startup that provides solution for sanitation problems.,Sanitation Energy Renewable Energy Community Social Entreprise,Funding Round,"$215,000.00",,,,
133,Sendy,Sendy is an online platform for package and cargo delivery,Transportation Logistics,Series B,"$27,500,000.00",,,,
134,Seven Seas Technologies Group,"Seven Seas Technologies (SST) Group is one of Africa's fastest growing, diversified ICT businesses.",Digital Services,Venture,"$3,000,000.00",,,,
135,Shelter Afrique,Shelter Afrique is the only Pan-African Finance Institution.,Banking Financial Services Real Estate,Debt Financing,"$50,000,000.00",,,,
136,Shimba Technologies,"Shimba Technologies provides channel development, information dissemination and transaction processing of key content.",Digital Services,Seed,"$100,000.00",,,,
137,Shortlist,"Shortlist is a Kenyan startup which helps enterprises hire based on skills and potential, rather than pedigree.",Recruiting Software HR,Series A,"$3,000,000.00",,,,
138,Sidai Africa,Sidai Africa is a fully vertically-integrated company supplying quality livestock and crop inputs and training to farmer.,Delivery Service Livestock,Series A,"$11,300,000.00",,,,
139,Sidai Africa Ltd,Sidai is a Kenyan fully vertically-integrated startup supplying quality livestock and crop inputs and training to farmers.,Livestock Agriculture Delivery Service,Series A,"$11,300,000.00",,,,
140,Side,Side is a Kenyan e-Commerce startup that allows users become social sellers.,E-Commerce Community Retail,Grant,–,,,,
141,Sing+,Mobile karaoke app based in China.,Apps,Seed,"$2,400,000.00",,,,
142,Sistema.bio,"Sistema.bio is a hybrid reactor biodigester that transforms the manure of animals into biogas and a potent, natural fertilizer.",Agriculture Biomass Energy Environmental Consulting Renewable Energy,Convertible Note,"$350,000.00",,,,
143,Sky.Garden,Sky.Garden is a Kenyan mobile SaaS eCommerce Platform for African retailers.,E-Commerce SaaS Mobile Apps Internet Trading Platform AI,Series A,"$7,112,030.00",,,,
144,Smubu,Smubu is a music platform that aims to make music legally accessible in Africa.,Music Music Streaming,Seed,"$140,000.00",,,,
145,Sokowatch,Sokowatch is transforming communities across Africa by revolutionizing access to essential goods and services.,Retail Logistics Supply Chain,Series A,"$18,500,000.00",,,,
146,Solarise Africa,Solarise Africa owns and leases captive rooftop and ground mounted solar projects for commercial and industrial clients in Africa.,Energy Solar,Series B,"$13,300,000.00",,,,
147,Sote,Sote is a Nairobi-based African supply-chain-start-up which offers licensed tech-enabled customs clearing and forwarding service.,Big Data Logistics Freight Service,Seed,"$3,755,000.00",,,,
148,SunCulture,SunCulture is a Kenyan startup that empowers smallholder farmers with solar irrigation,Agriculture Farming Solar Alternative Energy Equipment AgTech,Debt Financing,"$29,600,000.00",,,,
149,SunFunder,SunFunder is unlocking debt capital for solar energy access & climate change,Asset Management Commercial Lending Energy Finance Solar,Grant,"$77,520,000.00",,,,
150,Taimba Limited,Taimba is an agritech company that creates linkages between rural small scale farmers and urban traders,Agriculture,Seed,"$547,000.00",,,,
151,Tambua Health,Tambua Health is a medical technology software and services company revolutionizing the diagnosis and treatment of cardiopulmonary diseases.,Health MedTech Application Software,Seed,"$250,000.00",,,,
152,Tanda,Tanda is a Kenyan fintech startup working to revolutionize access to digital financial services for micro-retilers across Africa.,Banking FinTech Financial Services Micro Lending Credit,Funding Round,–,,,,
153,The African Management Initiative (AMI),The African Management Initiative (AMI) enable ambitious businesses across Africa to thrive.,Consulting E-Learning Education Digital Learning EdTech,Series A,"$2,550,000.00",,,,
154,The Kueq Limited,"The Kueq Limited is a virtual bank SUPER APP for unbanked, underbanked & underserved individuals & SMEs in Africa.",Banking Financial Services FinTech Digital Bank,Seed,"$200,000.00",,,,
155,Thebhub,Thebhub develops smart blockchain solutions for Supply chain and Financial services,Blockchain Digital Services Supply Chain Management,Seed,"$100,000.00",,,,
156,TKM Maestro,TKM Maestro is a turnkey solutions provider with the global logistics to provide innovative products and services.,Communications Infrastructure Consulting Wired Telecommunications,Venture,"$741,961.00",,,,
157,Totohealth,"At Totohealth, we utilize innovative mobile technologies to improve maternal and child health indicators across Kenya.",Health Care Health MHealth,Non-equity Assistance,"$1,000,000.00",,,,
158,Tulaa,"Tulaa enables farmers to access inputs, finance, information and markets in a virtual marketplace",AgTech FinTech Agriculture Financial Services,Seed,"$672,000.00",,,,
159,Turaco,Turaco provides Insurance for tomorrow's emerging markets.,Financial Services Insurance InsurTech,Seed,"$3,300,000.00",,,,
160,Twende Carpool,Twende Carpool is a Travels platform that developed a mobile app that connects people traveling in the same direction.,Transportation Travels Mobility Carpooling Mobile App,Grant,–,,,,
161,Twiga Foods,Twiga Foods is a business-to-business marketplace platform that sources produce directly from farmers and delivers it to urban retailers.,Agriculture E-Commerce Grocery Marketplace Retail Shopping,Debt Financing,"$85,350,000.00",,,,
162,UjuziKilimo,UjuziKilimo collects & analyzes millions of data sets to inform the agriculture industry,Agriculture Analytics Big Data Farming Machine Learning Predictive Analytics AgTech,Grant,"$250,000.00",,,,
163,Uncover,"Uncover is a Kenyan one stop shop for skincare, availing knowledge and products from Korea to revolutionise the skincare experience in Africa.",Retail Cosmetics Lifestyle Skincare,Pre-seed,"$100,000.00",,,,
164,UTU Technologies,UTU Technologies is building a Trust infrastructure for the sharing economy.,Big Data Blockchain IaaS Sharing Economy,Seed,"$750,000.00",,,,
165,Vertical Agro,"Vertical Agro is an integrated independent grower, processor, exporter and marketer of fresh and frozen vegetables and fruits.",Agriculture Organic Food,Venture,"$4,250,000.00",,,,
166,Victory Farms,"Victory Farms is a Kenyan tilapia fish farm intended to provide affordable, accessible and healthy protein to the East African population.",Aquaculture Agriculture Natural Resources,Funding Round,–,,,,
167,Virtual City,Virtual City is a leading mobile software firm that develops and delivers mobile software solutions in Africa.,Digital Services,Venture,"$1,000,000.00",,,,
168,Watu Credit,Watu Credit Limited offers asset financing (motorcycles and three-wheelers) and group lending products (short-term and business loans),Finance Financial Services FinTech,Debt Financing,"$1,500,000.00",,,,
169,Wazi,Wazi is a digital mental health company providing therapy services to individuals and companies across Kenya.,Digital Health Care Mobile App,Grant,"$38,000.00",,,,
170,Wee Media,WeeMedia is a multi-brand & multi-channel media company in Africa.,News Digital Media Information Media Online Media Social Entrepreneurship Venture Capital,Seed,"$400,000.00",,,,
171,Wefarm,"Wefarm is a network and marketplace for small-scale farmers to share and access vital information, products and services without internet.",AgTech Machine Learning Farming SMS Internet,Series A,"$31,050,000.00",,,,
172,Western Seed,Western Seed was established in 1986 to address the problem of dismal yields of maize farmers in Kenya,Agriculture Farming AgTech,Venture,"$2,100,000.00",,,,
173,Wilmar Flowers,Wilmar Flowers exports summer flowers grown by small and medium sized farmers from Kenya.,Farming,Debt Financing,"$460,000.00",,,,
